Servicio_Afectado_por_Mora,Obligaciones_Facturadas_COP,Pagos_Reales_COP,Periodo,Deuda_Pendiente_COP
INVERSION FORZOSA LEY 715 AGUA POTABLE Y SANEAMIENTO BASICO VIGENCIA ANTERIOR,3152925698.21,149949278.0,2017-2,3002976420.21
SGP INVERSION FORZOSA LEY 715 AGUA POTABLE Y SANEAMIENTO BASICO VIGENCIA ANTERIOR,1294818578.0,330869475.0,2017-2,963949103.0
RECURSO PAGO COMPENSATORIO DE LOS DEBERES URBANISTICOS,793175576.19,0.0,2017-2,793175576.19
LIQUIDACION CONVENIO 929 DE 2008 ATENCION INTEGRAL A LA PRIMERA INFANCIA VIGENCIAS ANTERIORES,214062742.0,0.0,2017-2,214062742.0
RECURSOS CONPES 162 DE 2013 VIGENCIAS ANTERIORES,200408258.0,0.0,2017-2,200408258.0
INVERSION  FORZOSA LEY 715 OTROS SECTORES PROPOSITO GENERAL,182429578.0,0.0,2017-2,182429578.0
RENDIMIENTOS FINANCIEROS EDUCACION,160278875.0,0.0,2017-2,160278875.0
INVERSION FORZOSA LEY 715 OTROS SECTORES PROPOSITO GENERAL,156783210.76,0.0,2017-2,156783210.76
RECURSOS ESTRATIFICACION VIGENCIAS ANTERIORES,202052666.0,71667347.0,2017-2,130385319.0
INVERSION FORZOSA LEY 715 DE 2011 PROOPOSITO GENERAL  OTROS SECTORES,99400000.0,0.0,2017-2,99400000.0
PROGRAMAS RECREATIVOS CULTURALES Y DEPORTIVOS,29647932.0,0.0,2018-2,29647932.0
SGP PRESTACION DE SERVICIOS EDUCACION LEY 715 DE 2001 VIGENCIAS FUTURAS CONCESION EDUCATIVA SGP PRESTACION DE SERVICIOS OTROS,1342304692.0,0.0,2019-1,1342304692.0
INVERSION FORZOSA LEY 715 AGUA POTABLE Y SANEAMIENTO BASICO VIGENCIA ANTERIOR,1015043642.0,444102340.0,2019-1,570941302.0
RECURSOS ALUMBRADO PUBLICO VIGENCIAS ANTERIORES,133915402.0,0.0,2019-1,133915402.0
VIGENCIAS EXPIRADAS ALUMBRADO PUBLICO,40098965.46,0.0,2019-1,40098965.46
IMPUESTO DE TRANSPORTE DE OLEODUCTOS Y GASODUCTOS,73333333.0,6666667.0,2019-2,66666666.0
